list	part	item_id	condition	type	type_id	target_gender	gender_match	orig_item_number	case	animacy	R1	R2	R3	R4	R5	R6	text	question	response_true	response_distractors
3	adjectives	4	d	stim_adj	1	M	Mis	0	0	Inanim	У бабушки	старая	пылесос	уже год	плохо	работает	У бабушки старая пылесос уже год плохо работает.	Хорошо ли работает у бабушки техника? 	нет	да
3	adjectives	5	a	stim_adj	1	M	Match	0	0	Inanim	На стене 	рваный	плакат	давно	еле-еле	держится	На стене  рваный плакат давно еле-еле держится.	Все ли в порядке на стене?	нет	да
3	adjectives	6	b	stim_adj	1	F	Mis	0	0	Inanim	В комнате	странный	сумка	в углу	привлекает	внимание	В комнате странный сумка в углу привлекает внимание.	Лежит ли странный предмет в центре комнаты?	нет	да
3	adjectives	7	c	stim_adj	1	F	Match	0	0	Inanim	В холодильнике	готовая	колбаса	из Испании	или из	Италии	В холодильнике готовая колбаса из Испании или из Италии.	Продукты в ящике были из-за границы?	Да	Нет
3	adjectives	9	a	stim_adj	1	M	Match	0	0	Inanim	На реке	ржавый	катер	вечером	сильно	тарахтит	На реке ржавый катер вечером сильно тарахтит.	Есть ли вечером шум на реке?	да	нет
3	adjectives	14	b	stim_adj	1	F	Mis	0	0	Inanim	В саду	сладкий	вишня	уже 	скоро	созреет	В саду сладкий вишня уже  скоро созреет.	Скоро ли будут фрукты и овощи в саду?	да	нет
3	adjectives	16	d	stim_adj	1	M	Mis	0	0	Inanim	На дороге	грязная	трактор	никак	не может	завестись	На дороге грязная трактор никак не может завестись.	Удается ли завести мотор?	нет	да
3	adjectives	18	b	stim_adj	1	F	Mis	0	0	Inanim	В шкафу	дорогой	посуда	уже давно	пылится	без дела	В шкафу дорогой посуда уже давно пылится без дела.	Используется ли предмет?	нет	да
3	verbs	20	d	stim_verb	2	M	Mis	0	0	Inanim	На кухне	стоялa	пылесос	китайского	или корейского	производства	На кухне стоялa пылесос китайского или корейского производства.	Технику произвели в Америке?	нет	да
3	verbs	21	a	stim_verb	2	M	Match	0	0	Inanim	На стене 	висел	плакат	с изображением	группы	Нирвана	На стене  висел плакат с изображением группы Нирвана.	Изображена ли была группа Любэ?	нет	да
3	verbs	22	b	stim_verb	2	F	Mis	0	0	Inanim	При входе	лежал	сумка	с вещами	нашего	 приятеля	При входе лежал сумка с вещами нашего  приятеля.			
3	verbs	23	c	stim_verb	2	F	Match	0	0	Inanim	В ресторан	прибыла	колбаса	из Испании	или из	Италии	В ресторан прибыла колбаса из Испании или из Италии.	Еда поступила в ресторан?	да	нет
3	verbs	25	a	stim_verb	2	M	Match	0	0	Inanim	У берега	стоял	катер	на якоре	и плавно	качался	У берега стоял катер на якоре и плавно качался.			
3	verbs	30	b	stim_verb	2	F	Mis	0	0	Inanim	В саду	созрел	вишня	из Болгарии	несмотря на 	непогоду	В саду созрел вишня из Болгарии несмотря на  непогоду.	Хорошая ли была погода?	нет	да
3	verbs	32	d	stim_verb	2	M	Mis	0	0	Inanim	К дому	подъехала	трактор	с выбитыми	стеклами	и фарами	К дому подъехала трактор с выбитыми стеклами и фарами.	Стёкла и фары были в плохом состоянии?	да	нет
3	verbs	34	b	stim_verb	2	F	Mis	0	0	Inanim	С полки	упал	посуда	вместе	с коробкой	и салфетками	С полки упал посуда вместе с коробкой и салфетками.	Остались ли салфетки на полке?	нет	да
3	pred_adjectives	38	b	stim_pred_adj	3	F	Mis	0	0	inanim	У бабушки	готов	закуска	на всю	нашу	семью	У бабушки готов закуска на всю нашу семью.			
3	pred_adjectives	42	b	stim_pred_adj	3	F	Mis	0	0	inanim	Дома всегда	полезен	машинка	для заготовки	фруктов и	овощей	Дома всегда полезен машинка для заготовки фруктов и овощей.			
3	pred_adjectives	43	c	stim_pred_adj	3	F	Match	0	0	inanim	Мне очень	дорога	фотография	о нашей 	встрече	в Москве	Мне очень дорога фотография о нашей  встрече в Москве.	Состоялась ли наша встреча в России?	да	нет
